mi,Erm/Sci,Scm/Po,Distance,X*,R*,u0*,u*,Ur,strain
10,22.95,0.1,50,10,5.74,0.140913044,0.937031807,2.998501782,59.97003564
10,22.95,0.1,51,10.2,5.74,0.140913044,0.940238304,3.008762573,60.17525146
10,22.95,0.1,52,10.4,5.74,0.140913044,0.943281518,3.018500859,60.37001718
10,22.95,0.1,53,10.6,5.74,0.140913044,0.946169765,3.027743247,60.55486494
10,22.95,0.1,54,10.8,5.74,0.140913044,0.948910934,3.03651499,60.7302998
10,22.95,0.1,55,11,5.74,0.140913044,0.951512517,3.044840054,60.89680107
10,22.95,0.1,56,11.2,5.74,0.140913044,0.95398162,3.052741185,61.05482369
10,22.95,0.1,57,11.4,5.74,0.140913044,0.956324991,3.06023997,61.2047994
10,22.95,0.1,58,11.6,5.74,0.140913044,0.958549031,3.067356899,61.34713798
10,22.95,0.1,59,11.8,5.74,0.140913044,0.960659817,3.074111416,61.48222832
10,22.95,0.1,60,12,5.74,0.140913044,0.962663118,3.080521976,61.61043952
10,22.95,0.1,61,12.2,5.74,0.140913044,0.964564405,3.086606095,61.73212189
10,22.95,0.1,62,12.4,5.74,0.140913044,0.966368873,3.092380395,61.84760789
10,22.95,0.1,63,12.6,5.74,0.140913044,0.968081454,3.097860653,61.95721306
10,22.95,0.1,64,12.8,5.74,0.140913044,0.969706826,3.103061843,62.06123686
10,22.95,0.1,65,13,5.74,0.140913044,0.97124943,3.107998175,62.1599635
10,22.95,0.1,66,13.2,5.74,0.140913044,0.97271348,3.112683137,62.25366274
10,22.95,0.1,67,13.4,5.74,0.140913044,0.974102978,3.117129529,62.34259058
10,22.95,0.1,68,13.6,5.74,0.140913044,0.975421719,3.1213495,62.42699
10,22.95,0.1,69,13.8,5.74,0.140913044,0.976673306,3.125354579,62.50709159
10,22.95,0.1,70,14,5.74,0.140913044,0.977861159,3.12915571,62.5831142
10,22.95,0.1,71,14.2,5.74,0.140913044,0.978988524,3.132763278,62.65526555
10,22.95,0.1,72,14.4,5.74,0.140913044,0.980058481,3.136187139,62.72374278
10,22.95,0.1,73,14.6,5.74,0.140913044,0.981073953,3.139436649,62.78873297
10,22.95,0.1,74,14.8,5.74,0.140913044,0.982037714,3.142520685,62.85041371
10,22.95,0.1,75,15,5.74,0.140913044,0.982952399,3.145447675,62.9089535
10,22.95,0.2,-12,-2.4,3.1,0.209378368,0.018994377,0.014055839,0.28111678
10,22.95,0.2,-11,-2.2,3.1,0.209378368,0.023199785,0.017167841,0.343356811
10,22.95,0.2,-10,-2,3.1,0.209378368,0.028336281,0.020968848,0.419376956
10,22.95,0.2,-9,-1.8,3.1,0.209378368,0.034610012,0.025611409,0.51222817
10,22.95,0.2,-8,-1.6,3.1,0.209378368,0.042272764,0.031281845,0.6256369
10,22.95,0.2,-7,-1.4,3.1,0.209378368,0.05163207,0.038207732,0.764154635
10,22.95,0.2,-6,-1.2,3.1,0.209378368,0.063063553,0.046667029,0.933340579
10,22.95,0.2,-5,-1,3.1,0.209378368,0.077025997,0.056999238,1.139984758
10,22.95,0.2,-4,-0.8,3.1,0.209378368,0.094079765,0.069619026,1.392380528
10,22.95,0.2,-3,-0.6,3.1,0.209378368,0.114909285,0.085032871,1.700657417
10,22.95,0.2,-2,-0.4,3.1,0.209378368,0.140350518,0.103859383,2.07718766
10,22.95,0.2,-1,-0.2,3.1,0.209378368,0.171424509,0.126854137,2.537082737
10,22.95,0.2,0,0,3.1,0.209378368,0.209378368,0.154939993,3.098799852
10,22.95,0.2,1,0.2,3.1,0.209378368,0.282304548,0.208905365,4.178107306
10,22.95,0.2,2,0.4,3.1,0.209378368,0.348504086,0.257893024,5.157860477
10,22.95,0.2,3,0.6,3.1,0.209378368,0.408597443,0.302362108,6.047242158
10,22.95,0.2,4,0.8,3.1,0.209378368,0.463147846,0.342729406,6.854588128
10,22.95,0.2,5,1,3.1,0.209378368,0.512666573,0.379373264,7.587465281
10,22.95,0.2,6,1.2,3.1,0.209378368,0.55761774,0.412637128,8.25274255
10,22.95,0.2,7,1.4,3.1,0.209378368,0.598422654,0.442832764,8.856655284
10,22.95,0.2,8,1.6,3.1,0.209378368,0.635463763,0.470243184,9.404863687
10,22.95,0.2,9,1.8,3.1,0.209378368,0.669088235,0.495125294,9.902505875
10,22.95,0.2,10,2,3.1,0.209378368,0.699611218,0.517712301,10.35424602
10,22.95,0.2,11,2.2,3.1,0.209378368,0.72731879,0.538215905,10.7643181
10,22.95,0.2,12,2.4,3.1,0.209378368,0.752470643,0.556828276,11.13656552
10,22.95,0.2,13,2.6,3.1,0.209378368,0.775302513,0.57372386,11.47447719
10,22.95,0.2,14,2.8,3.1,0.209378368,0.796028393,0.589061011,11.78122022
10,22.95,0.2,15,3,3.1,0.209378368,0.814842538,0.602983478,12.05966956
10,22.95,0.2,16,3.2,3.1,0.209378368,0.831921284,0.61562175,12.31243501
10,22.95,0.2,17,3.4,3.1,0.209378368,0.847424704,0.627094281,12.54188561
10,22.95,0.2,18,3.6,3.1,0.209378368,0.861498102,0.637508596,12.75017191
10,22.95,0.2,19,3.8,3.1,0.209378368,0.874273384,0.646962304,12.93924609
10,22.95,0.2,20,4,3.1,0.209378368,0.885870286,0.655544012,13.11088024
10,22.95,0.2,21,4.2,3.1,0.209378368,0.896397501,0.663334151,13.26668302
10,22.95,0.2,22,4.4,3.1,0.209378368,0.905953696,0.670405735,13.40811471
10,22.95,0.2,23,4.6,3.1,0.209378368,0.914628437,0.676825043,13.53650087
10,22.95,0.2,24,4.8,3.1,0.209378368,0.922503028,0.682652241,13.65304481
10,22.95,0.2,25,5,3.1,0.209378368,0.929651274,0.687941943,13.75883886
10,22.95,0.2,26,5.2,3.1,0.209378368,0.936140173,0.692743728,13.85487456
10,22.95,0.2,27,5.4,3.1,0.209378368,0.942030542,0.697102601,13.94205202
10,22.95,0.2,28,5.6,3.1,0.209378368,0.947377589,0.701059416,14.02118832
10,22.95,0.2,29,5.8,3.1,0.209378368,0.95223143,0.704651258,14.09302516
10,22.95,0.2,30,6,3.1,0.209378368,0.956637557,0.707911792,14.15823584
10,22.95,0.2,31,6.2,3.1,0.209378368,0.960637267,0.710871577,14.21743155
10,22.95,0.2,32,6.4,3.1,0.209378368,0.964268047,0.713558355,14.2711671
10,22.95,0.2,33,6.6,3.1,0.209378368,0.967563928,0.715997307,14.31994614
10,22.95,0.2,34,6.8,3.1,0.209378368,0.9705558,0.718211292,14.36422585
10,22.95,0.2,35,7,3.1,0.209378368,0.973271705,0.720221062,14.40442124
10,22.95,0.2,36,7.2,3.1,0.209378368,0.975737097,0.722045452,14.44090904
10,22.95,0.2,37,7.4,3.1,0.209378368,0.977975084,0.723701562,14.47403125
10,22.95,0.2,38,7.6,3.1,0.209378368,0.980006641,0.725204915,14.50409829
10,22.95,0.2,39,7.8,3.1,0.209378368,0.981850809,0.726569599,14.53139198
10,22.95,0.2,40,8,3.1,0.209378368,0.983524873,0.727808406,14.55616813
10,22.95,0.2,41,8.2,3.1,0.209378368,0.985044523,0.728932947,14.57865894
10,22.95,0.2,42,8.4,3.1,0.209378368,0.986424002,0.729953761,14.59907523
10,22.95,0.2,43,8.6,3.1,0.209378368,0.987676239,0.730880417,14.61760834
